Date;IPI
01/01/2008;112.517401412294
01/02/2008;104.153329046342
01/03/2008;111.544426760973
01/04/2008;104.963138977166
01/05/2008;106.762227016058
01/06/2008;89.6379211533593
01/07/2008;95.8853894815903
01/08/2008;94.805077234116
01/09/2008;84.0174021589418
01/10/2008;86.629503486418
01/11/2008;96.3714539030419
01/12/2008;101.556657111219
01/01/2009;105.349443304796
01/02/2009;104.712285827792
01/03/2009;118.929251244627
01/04/2009;110.693970107817
01/05/2009;112.644990685149
01/06/2009;104.565687297586
01/07/2009;102.302938000127
01/08/2009;96.3957073701916
01/09/2009;95.8614876143619
01/10/2009;103.308456054246
01/11/2009;95.9651776970566
01/12/2009;123.982293775624
01/01/2010;121.353724968669
01/02/2010;102.178272917272
01/03/2010;132.293074104323
01/04/2010;113.304311518025
01/05/2010;120.768196676345
01/06/2010;117.369774762503
01/07/2010;107.487314132774
01/08/2010;96.3374643976067
01/09/2010;82.6885845497566
01/10/2010;106.227693778925
01/11/2010;96.7956775101557
01/12/2010;120.852474954078
01/01/2011;121.459621228694
01/02/2011;110.258318705751
01/03/2011;139.717734027895
01/04/2011;125.842545026291
01/05/2011;132.295510476953
01/06/2011;120.055431553881
01/07/2011;116.162330592436
01/08/2011;104.991938364829
01/09/2011;96.8453231739059
01/10/2011;116.826008300012
01/11/2011;100.642471391899
01/12/2011;118.769868183681
01/01/2012;118.857636110563
01/02/2012;120.26230139832
01/03/2012;132.006734078259
01/04/2012;120.751229680683
01/05/2012;119.509521650811
01/06/2012;128.318868848362
01/07/2012;131.519947372953
01/08/2012;97.5252898523906
01/09/2012;98.0412345831443
01/10/2012;101.215015945725
01/11/2012;104.130833986615
01/12/2012;123.849092192906
01/01/2013;114.412131574843
01/02/2013;111.168585566475
01/03/2013;120.404637945238
01/04/2013;117.735179777582
01/05/2013;117.669173007806
01/06/2013;99.6318422320236
01/07/2013;109.662539858984
01/08/2013;105.878178272178
01/09/2013;106.443517096821
01/10/2013;99.6532975127393
01/11/2013;108.44967022067
01/12/2013;119.955319662001
01/01/2014;114.935225702563
01/02/2014;115.397897130957
01/03/2014;120.355582744417
01/04/2014;119.483559409633
01/05/2014;114.865381629942
01/06/2014;99.7210773588587
01/07/2014;102.775707793681
01/08/2014;94.036090059024
01/09/2014;106.963909501516
01/10/2014;93.3053666057927
01/11/2014;105.117175651199
01/12/2014;117.126334992165
01/01/2015;125.253387436521
01/02/2015;118.022741065865
01/03/2015;131.715804478499
01/04/2015;119.607364094532
01/05/2015;126.366317209304
01/06/2015;120.393446637207
01/07/2015;106.951182767192
01/08/2015;95.9652610768288
01/09/2015;98.5148837840553
01/10/2015;112.200857235012
01/11/2015;105.37873577869
01/12/2015;124.433539110399
01/01/2016;126.38047166243
01/02/2016;119.258987297244
01/03/2016;130.425254971063
01/04/2016;125.925790715475
01/05/2016;134.024676209035
01/06/2016;127.676346134019
01/07/2016;120.131613670617
01/08/2016;121.780267117157
01/09/2016;104.69940250267
01/10/2016;107.077819075654
01/11/2016;113.373875333813
01/12/2016;134.44518913862
01/01/2017;125.786541429335
01/02/2017;126.140655582721
01/03/2017;145.987488066375
01/04/2017;129.350880663289
01/05/2017;138.438668253346
01/06/2017;115.79113330451
01/07/2017;111.569692640793
01/08/2017;120.104160151884
01/09/2017;110.318497850213
01/10/2017;123.449011850511
01/11/2017;111.477424432313
01/12/2017;135.296147314566
